Skeleton ID,Frontal - Left,Frontal - Right,Parietal - Left,Parietal - Right,Occipital,Temporal - Left,Temporal - Right,Sphenoid,Ethmoid,Vomer,Nasal - Left,Nasal - Right,Zygomatic - Left,Zygomatic - Right,Maxilla - Left,Maxilla - Right,Palatine - Left,Palatine - Right,Hyoid,Mandible,Unidentified Cranial Fragments,LXI1,LXI2,LXC,LXPM3,LXPM4,LXM1,LXM2,LXM3,RXI1,RXI2,RXC,RXPM3,RXPM4,RXM1,RXM2,RXM3,LNI1,LNI2,LNC,LNPM3,LNPM4,LNM1,LNM2,LNM3,RNI1,RNI2,RNC,RNPM3,RNPM4,RNM1,RNM2,RNM3,Clavicle - Left,Clavicle - Right,Scapula - Left,Scapula - Right,Patella - Left,Patella - Right,Sacrum,Ilium - Left,Ilium - Right,Ischium - Left,Ischium - Right,Pubis - Left,Pubis - Right,Coccyx,C1,C2,C7,C3-6,T1-9,T10,T11,T12,L1,L2,L3,L4,L5,LXdI1,LXdI2,LXdC,LXdM1,LXdM2,RXdI1,RXdI2,RXdC,RXdM1,RXdM2,LNdI1,LNdI2,LNdC,LNdM1,LNdM2,RNdI1,RNdI2,RNdC,RNdM1,RNdM2,Vertebral Fragments,Sternum,1st Rib - Left,1st Rib - Right,2nd Rib - Left,2nd Rib - Right,11th Rib - Left,11th Rib - Right,12th Rib - Left,12th Rib - Right,3-10 Ribs - Left,3-10 Ribs - Right,Ribs - Unsided,Humerus - Left,Humerus - Right,Radius - Left,Radius - Right,Ulna - Left,Ulna - Right,Femur - Left,Femur - Right,Tibia - Left,Tibia - Right,Fibula - Left,Fibula - Right,Talus - Left,Talus - Right,Calcaneus - Left,Calcaneus - Right,Carpals - Left,Carpals - Right,Metacarpals - Left,Metacarpals - Right,Hand Phalanges,Tarsals - Left,Tarsals - Right,Metatarsals - Left,Metatarsals - Right,Foot Phalanges,Inventory Comments,Ossified Cartilage,Rhomboid Fossa - L,Rhomboid Fossa - R
"ET56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,"Parts present include: cranial fragments, vertebral fragments, ribs, long bone fragments.  Impossible to separate these bones because of concretions.",0,,
"ET57",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,0,1,0,0,"4","8","20","Complete","Distal Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,,"1, 2, 3, 4, 5","1, 2, 3, 4, 5",,"cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5",,"Numerous hand and foot phalanges present, but impossible to separate them.  There are at least 3 proximal hand phalanges, for example.  Numerous carpals present, but impossible to see because of the concretions.  2 sesamoid bones present in R foot.",0,"Absent","Absent"
"ET58",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,"4","5",0,1,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,10,1,1,1,0,0,0,1,0,0,"8","2","30","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Epiph",,"Prox Epiph",,0,0,0,0,"cap, ham, scaph, lun","cap, ham, lun","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 8 interm, 3 distal",,,,,,"Also included: one pisiform (unsideable).",1,"Absent","Absent"
"ET62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,"2","2",0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","5","Complete",,,,"Prox Third",,"Complete","Complete","Complete","Complete","Distal Third","Prox Third",0,0,1,0,,,,,,,,,,,"Unsure which verts are present in the giant chunk of thorax.  Probably most of the T spine.",0,"Unknown (fragmented clavicle)","Unknown (clavicle fragmented)"
"ET63",1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,"4","9",0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,1,0,0,"4","5","40","Complete","Complete","Prox Third","Prox Third","Prox Third","Prox Third","Complete","Complete","Prox Third","Complete","Middle Third","Distal Third",0,1,0,1,,,,,"4 prox",,,,,"1 1st prox","Also present: 1 MT, 4 MCs.",0,"Absent","Absent"
"ET64",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,"1","5",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,1,0,0,0,"8","4","20","Prox Third","Prox Third","Prox Third","Distal Third","Prox Third","Prox Third","Complete","Complete","Complete","Complete","Complete","Complete",0,0,0,0,,,,,"1 prox",,,,,,"Also present: 1 MT, 1 MC.",0,"Absent","Unknown (clavicle fragmented)"
"ET65",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,"Distal Third",,"Distal Third",,,,0,0,0,0,,,,,,,,,,,"Also present are the following, although I can't tell in what quantity: phalanges (hand), vertebrae, ribs.  No measurements possible, no samples possible.",0,,
"ET66",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,"4","5",0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,"2","0","10","Complete","Complete","Complete","Prox Third","Complete","Complete","Complete","Complete","Complete","Prox Third","Complete","Prox Third",0,0,0,0,,,,,,,,,,,"There are a couple hand phalanges.",0,,
"ET67",1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,0,1,1,0,0,"8","6","40","Middle Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Epiph","Prox Epiph",,,0,0,0,0,"ham, lun","gr mult","1, 2, 3, 4, 5","2, 3, 4","9 prox, 4 interm, 1 dist",,,,,,"Fragments of a fibula shaft are present, but I can't tell which side.  Several long bone epiphyses are present, including: L radius prox and distal, R radius prox, L and R femur prox and dist, L and R tibia prox.",0,"Absent","Absent"
"ET68",1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,1,"8","6","20","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scaph, triq, gr mult, less mult","ham, lun, scaph, less mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","9 prox, 2 dist","cub, navic, 1st cunei","cub, navic, 1st, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox, 1 interm, 2 dist",,0,"Absent","Absent"
"ET69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,1,1,1,1,0,"6","5","40","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"triq, ham, cap, scaph, lun","cap, ham, lun, scaph, triq, gr mult, less mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 8 interm, 4 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","1 prox",,0,"Absent","Present"
"ET70",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0,0,1,1,1,0,"8","8","40","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",,"Complete",,"Complete",0,1,0,0,"cap, ham, lun, scaph, gr mult, less mult, triq","cap, ham, scaph, less mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 7 interm, 6 distal",,"cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5",,"4 prox, 1 interm","Many verts are stuck together.  One piece of an additional L vert is present, probably L4.",0,"Absent","Absent"
"ET71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,
"ET72",1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,"4","8",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,1,"6","7","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",,"Complete",,"Complete",0,1,0,1,"cap, ham, lun, scaph, triq, gr mult, less mult","cap, ham, lun, scaph, triq, gr mult, less mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox, 6 interm, 6 dist",,"cuboid, navicular",,,,,0,"Absent","Absent"
"ET73",0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,"Distal Third","Prox Epiph","Distal Epiph",,1,0,1,1,,,,,,"cub, scaph, 1st, 2nd cunei","cub, scaph, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4","7 prox, 2 dist (1st)","Some additional foot epiphyses present (MT heads, phalanx bases, etc).",0,,
"ET76",0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"3","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,1,1,0,1,0,0,0,0,"6","8","30","Distal Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scaph, gr mult, less mult, pisiform","cap, ham, lun, scaph, triq, gr mult, less mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox, 6 interm, 6 distal","cub, navic, 1st, 3rd cunei","cub, navic, 2nd, 3rd cunei","1, 3, 4, 5","1, 3, 4, 5","9 prox, 8 interm, 6 distal","Hand phalanges are hard to count, as many are stuck to parts of the pelvis.  Most of the hand and foot phalanges are present.  Unsure why both MT2s are missing.  One sesamoid bone present in foot.",0,"Absent","Absent"
"ET77",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,0,1,0,"7","7","30","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,0,1,0,"lun, triq, gr mult, less mult, scaph, ham, cap","scaph, gr mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 5 interm, 5 dist",,,,,,"Other carpals are present, but the concretions render them unidentifiable.",0,"Absent","Absent"
"ET79",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,5,1,1,1,0,1,0,0,0,0,"8","3","50","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, ham, lun, scaph, triq, gr mult, less mult","cap, ham, lun, scaph, gr mult, less mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 7 interm, 6 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","9 prox, 1 interm, 2 dist","2 sesamoid bones found in the feet (probably the R foot).",0,"Absent","Present"
"ET79B",0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,"0","0","8","Distal Third","Prox Epiph","Complete",,,,,,,,,"Distal Epiph",0,0,0,0,,,"1","2","2 prox, 1 interm",,,"1","1","3 prox","Also present: 3 MTs, one scapula fragment, 10 fragments long bone.",0,,
"ET79C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0","Distal Third",,,,,,,,,"Prox Third",,,0,0,0,0,,,,,,,,,,,"One L vert present, unsure which it is, but its size indicates possibly L1.  Also present is a body from a C vert.",0,,
"ET80",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,"Distal Third",,,,"Complete","Complete",,"Complete","Distal Third",,1,1,0,1,,,,"1",,"navic, 3rd cunei","cub, navic",,"1, 3, 4, 5","3 prox",,0,"Absent",
"ET82",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,5,1,1,1,1,1,1,1,1,1,"8","8","20","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Prox Third","Complete","Prox Third","Complete",0,0,1,1,"cap, ham, lun, scaph, triq, gr mult, less mult, pisi","cap, ham, lun, scaph, triq, scaph, gr mult, pisi","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 4 interm, 4 dist",,,,,,,0,"Absent","Absent"
"ET83",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,"4","9",0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,10,0,1,1,0,1,0,1,0,0,"8","7","10","Complete","Prox Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",0,0,0,0,,,,,"1 prox",,,,,,"Also present: 3 MCs, 4 MTs (including an MT1).  There are about 9 T verts and 2 L verts.  Unsure quite which.",0,"Absent","Absent"
"ET85",1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,1,0,1,1,"8","7","20","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,0,1,0,"cap, ham, lun, scaph","cap, ham, lun, scaph, triq","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox, 4 interm, 1 dist",,,,,,,0,"Absent","Absent"
"ET86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","7",,"Complete",,"Prox Third",,"Prox Third",,,,,,,0,0,0,0,,,,,,,,,,,"R ilium is only fragmentary.",0,,
"ET87",1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,,"8",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,5,0,1,1,0,0,0,0,1,0,"6","6","40",,,,,,,"Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, lun, scaph, gr mult","cap, lun, scaph, gr mult, less mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","10 prox, 7 interm, 4 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 4, 5","7 prox, 2 interm 2 dist","Unsure which specific R MTs are present, but probably 2 and 4.",0,"Absent","Absent"
"ET87B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,,,0,0,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,"2","1","30",,,,"Complete",,"Complete",,"Complete",,,"Complete",,0,0,0,0,,,,,"2 prox",,,,,,,0,"Absent",
"ET87C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,"4","4","6",,"Middle Third",,,,,,,,,,,0,0,0,0,,,,,,,,,,,"The only bones present are: shaft of the R humerus, two vertebral bodies (cervical?), 4 right ribs, 4 left ribs, and some rib fragments.",0,,
"ET9",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,0,,
"ET90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,,"7",0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,1,1,1,0,"8","7","20",,"Complete",,"Complete",,"Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,,"cap, ham, lun, scaph, gr mult, less mult",,"1, 2, 3, 4, 5",,"cub, navic, 1st, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox, 1 distal",,0,,"Present"
"ET92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,,"8",0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,0,0,0,0,0,,"4","20",,"Distal Third","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, lun, ham, scaph, triq, less mult","cap, ham, lun, scaph","1, 2, 3, 4, 5","1, 2, 3, 4, 5","6 prox, 1 interm, 2 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","8 prox, 1 interm, 1 dist","Also included are about 30 small bone fragments, as well as 3 odd fragments of a femur that do not belong to this individual.",0,,
"ET93",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,10,0,0,1,0,0,0,0,0,0,"3","4","30","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",1,1,0,1,,"ham","1, 5","1, 2","4 prox",,,"2, 3, 4, 5","2, 3, 4, 5","1 prox 1st","Also present: 3 MCs (unsure which number or side), several epiphyses (scapulae, humeri, femorae, tibiae, R radius, R ulna).",0,"Absent","Absent"
"ET95",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,"4","9",1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,20,1,0,1,0,0,0,1,0,1,"5","6","40","Complete",,"Complete",,"Complete",,"Complete","Complete","Complete","Complete","Complete","Complete",1,1,1,1,"cap, lun, triq, scaph","triq","2, 5","1, 2, 4, 5","3 prox, 7 interm, 4 dist","cub, navic, 1st, 2nd, 3rd cunei","cub, navic, 1st, 2nd, 3rd cunei","1, 2, 3, 4, 5","1, 2, 3, 4, 5","5 prox, 1 interm, 1 dist","Also present: 4 sesamoid bones from the feet (2 near each 1st MT).",0,,"Absent"
"ET96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,,,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,"0","0","15","Distal Third",,"Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete","Complete",0,1,0,1,"cap, ham, lun, scaph, triq","cap, ham, scaph, triq, gr mult","1, 2, 3, 4, 5","1, 2, 3, 4, 5","9 prox, 5 interm, 4 dist",,"cuboid",,,,,0,,
"ET97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,"0","0","0",,,,,,,"Distal Third","Distal Third","Complete",,,,0,0,0,0,,,,,,,,,,,,0,,
